Year,Office,"Election type (RCV, Primary, General, Runoff)",# of Candidates,Candidates (list all) ,Sex/ Gender,Race/ethnicity identified,Source for race/ethnicity,Winner (Y/N),vote share - first round,vote share - final round,Type of verification for race/ethnicity,,,,,,,,,, ,,,,
2008,School Director D1,Non-Partisan Primary,3,Jody London,F,n/a,,Y,56.35,,,,,,,,,,,,,,,,
2008,School Director D1,Non-Partisan Primary,3,Brian Rogers,M,n/a,http://www.lwvoakland.org/files/oakland_evg_june_2008_eng.pdf,N,34.78,,Photo- see H,,,,,,,,,,,,,,
2008,School Director D1,Non-Partisan Primary,3,Tennessee Reed,F,Undetermined,http://smartvoter.org/2008/06/03/ca/alm/vote/reed_t/bio.html,N,8.35,,Photo- see H,,,,,,,,,,,,,,
2008,School Director D3,Non-Partisan Primary,2,Jumoke Hinton Hodge,F,African American,,Y,51.91,,,,,,,,,,,,,,,,
2008,School Director D3,Non-Partisan Primary,2,"Olugbemiga Oluwole, Sr.",M,African American,http://www.lwvoakland.org/files/oakland_evg_june_2008_eng.pdf,N,46.98,,Photo- see H,,,,,,,,,,,,,,
2008,School Director D5,Non-Partisan Primary,1,Noel Gallo,M,Undetermined,,Y,98.47,,,,,,,,,,,,,,,,
2008,School Director D7,Non-Partisan Primary,3,Alice A. Spearman,F,African American,,Y,50.41,,,,,,,,,,,,,,,,
2008,School Director D7,Non-Partisan Primary,3,Doris Limbrick,F,African American,http://www.lwvoakland.org/files/oakland_evg_june_2008_eng.pdf,N,32.28,,Photo- see H,,,,,,,,,,,,,,
2008,School Director D7,Non-Partisan Primary,3,Beverly Williams,F,African American,,N,16.57,,,,,,,,,,,,,,,,
2006,Auditor,Top 2 General,4,Courtney Ruby,F,n/a,,Y,39.19,65.78,,,,,,,,,,,,,,,
2006,Auditor,Top 2 General,4,Roland E. Smith,M,could not find,,N,30.95,33.42,,,,,,,,,,,,,,,
2006,Auditor,Non-Partisan Primary,4,Michael Kilian,M,n/a,,N,15.69,,,,,,,,,,,,,,,,
2006,Auditor,Non-Partisan Primary,4,Stewart Bolinger,M,could not find,,N,13.86,,,,,,,,,,,,,,,,
2006,City Council D2,Top 2 General,3,Patricia Kernighan,F,n/a,http://archive.fairvote.org/oaklandirv/webarchive/kernighan.html,Y,46.13,52.96,n/a,,,,,,,,,,,,,,
2006,City Council D2,Top 2 General,3,Aimee Allison Eng,F,Asian,,N,39.31,46.63,,,,,,,,,,,,,,,
2006,City Council D2,Non-Partisan Primary,3,Shirley Gee,F,Asian,http://www.smartvoter.org/2005/05/17/ca/alm/vote/gee_s/bio.html,N,14.45,,Photo- see H,,,,,,,,,,,,,,
2006,City Council D4,Non-Partisan Primary,1,Jean Quan,F,Asian,,Y,97.93,,,,,,,,,,,,,,,,
2006,City Council D6,Non-Partisan Primary,3,Desley Brooks,F,African American,,Y,53.26,,,,,,,,,,,,,,,,
2006,City Council D6,Non-Partisan Primary,3,Marcie Hodge,F,African American,,N,34.91,,,,,,,,,,,,,,,,
2006,City Council D6,Non-Partisan Primary,3,Nancy Sidebotham,F,n/a,,N,11.7,,,,,,,,,,,,,,,,
2006,Mayor,Non-Partisan Primary,6,Ronald V. Dellums,M,African American,http://www.sfgate.com/politics/article/Dellums-enters-Oakland-mayor-race-as-favorite-2565771.php,Y,50.19,,Photo- see H,,,,,,,,,,,,,,
2006,Mayor,Non-Partisan Primary,6,Ignacio De La Fuente,M,Latino,,N,32.98,,,,,,,,,,,,,,,,
2006,Mayor,Non-Partisan Primary,6,Nancy Nadel,F,n/a,,N,13.06,,,,,,,,,,,,,,,,
2006,Mayor,Non-Partisan Primary,6,"Ron ""Oz"" Oznowicz",M,n/a,http://www.smartvoter.org/2006/06/06/ca/alm/vote/oznowicz_r/,N,2.19,,n/a,,,,,,,,,,,,,,
2006,Mayor,Non-Partisan Primary,6,Arnie L. Fields,M,n/a,http://www.smartvoter.org/2006/06/06/ca/alm/vote/fields_a/,N,1.02,,n/a,,,,,,,,,,,,,,
2006,Mayor,Non-Partisan Primary,6,"Hector ""Reno"" Reyna",M,Latino,https://localwiki.org/oakland/History_of_Hispanic_and_Latino_Americans,N,0.41,,Article- see H,,,,,,,,,,,,,,
2006,School Director D2,Non-Partisan Primary,1,David Kakishiba,M,Asian,,Y,99.17,,,,,,,,,,,,,,,,
2006,School Director D4,Non-Partisan Primary,1,Gary D. Yee,M,Asian,,Y,99.01,,,,,,,,,,,,,,,,
2006,School Director D6,Non-Partisan Primary,2,Christopher Dobbins,M,Undetermined,,Y,51.94,,,,,,,,,,,,,,,,
2006,School Director D6,Non-Partisan Primary,2,Wandra J. Boyd,F,African American,http://www.smartvoter.org/2004/03/02/ca/alm/vote/boyd_w/bio.html,N,47.8,,Photo- see H,,,,,,,,,,,,,,
2004,City Attorney,Non-Partisan Primary,1,John Russo,M,n/a,,Y,99.08,,,,,,,,,,,,,,,,
2004,City Council At Large,Non-Partisan Primary,3,"Henry Chang, Jr.",M,Asian,http://memorymap.oacc.cc/people/elderinterviews/henrychang.html,Y,53.65,,Photo- see H,,,,,,,,,,,,,,
2004,City Council At Large,Non-Partisan Primary,3,Melanie Shelby,F,African American,,N,37.06,,,,,,,,,,,,,,,,
2004,City Council At Large,Non-Partisan Primary,3,"Hector ""Reno"" Reyna",M,Latino,,N,9.01,,,,,,,,,,,,,,,,
2004,City Council D1,Non-Partisan Primary,1,Jane Brunner,F,n/a,,Y,98.82,,,,,,,,,,,,,,,,
